class,class size,val size,val n_correct,val accuracy
Amphilius platychir,8,2,0, 0.000
Amphilius uranoscopus,6,1,0, 0.000
Amphilophus amarillo,156,19,3,15.789
Amphilophus astorquii,10,2,0, 0.000
Amphilophus chancho,54,7,0, 0.000
Amphilophus citrinellus,208,25,8,32.000
Amphilophus flaveolus,33,5,0, 0.000
Amphilophus globosus,1,1,0, 0.000
Amphilophus hogaboomorum,74,9,1,11.111
Amphilophus labiatus,188,22,11,50.000
Amphilophus lyonsi,99,11,2,18.182
Amphilophus margaritifer,9,2,0, 0.000
Amphilophus sagittae,74,9,0, 0.000
Amphilophus tolteca,7,1,0, 0.000
Amphilophus xiloaensis,36,5,0, 0.000
Amphilophus zaliosus,51,7,0, 0.000
Amphiprion akallopisos,101,12,2,16.667
Amphiprion akindynos,76,9,1,11.111
Amphiprion allardi,49,6,0, 0.000
Amphiprion barberi,85,10,0, 0.000
Amphiprion bicinctus,172,20,12,60.000
Amphiprion chagosensis,14,2,0, 0.000
